tree_size,kv_len,bsz,verifiertime_ms,verifiertime_std_ms,attn_implementation,model_name
16,1024,16,57.6318861002801,0.2608265207452805,flex_attention,qwen/qwen3-8b
16,2048,16,79.71816641045734,0.24800233060163515,flex_attention,qwen/qwen3-8b
24,512,16,59.6413039995241,0.35393980656572377,flex_attention,qwen/qwen3-8b
24,1024,16,70.60233987052925,0.24268929960601032,flex_attention,qwen/qwen3-8b
24,2048,16,92.4705610703677,0.3742859191252925,flex_attention,qwen/qwen3-8b
32,512,16,69.22230406169547,0.38764000316020714,flex_attention,qwen/qwen3-8b
32,1024,16,80.34516568150138,0.39763268619230785,flex_attention,qwen/qwen3-8b
32,2048,16,101.66646738070995,0.28787828499161927,flex_attention,qwen/qwen3-8b
64,512,16,118.4205838496564,0.9287451375527448,flex_attention,qwen/qwen3-8b
64,1024,16,129.05370610038517,0.9960352175104894,flex_attention,qwen/qwen3-8b
64,2048,16,151.1213038788992,0.8231547575515203,flex_attention,qwen/qwen3-8b
128,512,16,211.8179777005571,0.6805791244533304,flex_attention,qwen/qwen3-8b
128,1024,16,222.1185900986893,0.6814666289150799,flex_attention,qwen/qwen3-8b
128,2048,16,241.9251271476969,0.5932694580255063,flex_attention,qwen/qwen3-8b
16,512,1,101.72042997000972,1.2398501290037243,flex_attention,qwen/qwen3-14b
16,1024,1,102.61798552091932,0.42297040540542097,flex_attention,qwen/qwen3-14b
16,2048,1,105.53629973961506,29.745807694019383,flex_attention,qwen/qwen3-14b
24,512,1,102.41318647778826,0.34117229615828426,flex_attention,qwen/qwen3-14b
24,1024,1,102.35782322910381,0.4406725822623654,flex_attention,qwen/qwen3-14b
24,2048,1,102.34954058891162,0.5872658783204139,flex_attention,qwen/qwen3-14b
32,512,1,102.55798267171485,0.33175167105453196,flex_attention,qwen/qwen3-14b
32,1024,1,102.5029478801298,0.6547101825856838,flex_attention,qwen/qwen3-14b
32,2048,1,105.65399362880271,30.981180580146603,flex_attention,qwen/qwen3-14b
64,512,1,102.22798394126585,0.48948470320132303,flex_attention,qwen/qwen3-14b
